dosya;doc_id;field;mevcut;onerilen;gerekce;kanit
round0_kalibrasyon_B.csv;turkiye-finans--konut-finansmani-konut-finansmani;tahsis_ucreti;"{""rate"": 0.5}";(hücreyi boşalt);kart §3-6: oransal ücret (%0.5) para şemasına sığmaz -> verdict=unclear + note'a `oransal 0.5`;—
round0_kalibrasyon_B.csv;turkiye-finans--tasit-finansmani-tasit-finansmani-2;tahsis_ucreti;"{""rate"": 0.5}";(hücreyi boşalt);kart §3-6: oransal ücret (%0.5) para şemasına sığmaz -> verdict=unclear + note'a `oransal 0.5`;—
round0_kalibrasyon_B.csv;turkiye-finans--tasit-finansmani-tasit-finansmani-2;vade_ay;12ile 48 arasında değişiyor;48;kart §3-2: aralık yazılmış, en büyük değer alınır (note'a `aralik=12ile 48 arasında değişiyor`);Metinde araçların değerlerine göre 12 ile 48 ay arasında vade süreleri değişmektedir.
round0_kalibrasyon_B.csv;vakif-katilim--detay-espressolab-hediye-kahve-kampanyasi;kampanya_suresi;01 Ocak 2026 - 31 Aralık 2026;2026-12-31;kart §3-1: bitiş tarihi alınır (note'a `baslangic=2026-01-01`);Metinde kampanya geçerlilik tarihi yer almaktadır
round0_kalibrasyon_B.csv;vakif-katilim--finansmanlar-kentsel-donusum-finansmani;finansman_tutari;1.250.000 TL - 3.000.000 TL⁠;"{""value"": 3000000.0, ""currency"": ""TRY""}";kart §3-4: tutar aralığı, üst sınır alınır (note'a `alt=1.25e+06`);Metinde bağımsız bölüm başına azami 1.250.000 TL, toplamda en fazla 3.000.000 TL finansman tutarı verileceği belirtilmiştir.
round0_kalibrasyon_C.csv;dunya-katilim--katilma-hesaplari-gunes-katilma-hesabi;campaign_type;Güneş Katılma Hesabı;Yatırım Ürünü;kart §3-8: 'Güneş Katılma Hesabı' 8 sınıfta yok (note'a gerçek ürün adı);Model ihtiyaç finansmanını güneş katılma hesabı olarak yanlış algılamış doğrusu güneş katılma hesabı olacak ve  güneş katılma hesabı bir yatırım hesabıdır
round0_kalibrasyon_C.csv;dunya-katilim--kendim-icin-altin-bankaciligi;campaign_type;Yatırım Hesabı;Yatırım Ürünü;kart §3-8: 'Yatırım Hesabı' 8 sınıfta yok (note'a gerçek ürün adı);"Model campaign_type alanını ""İhtiyaç Finansmanı"" olarak algılamış ancak  Altın Cari Hesabı/Altın Bankacılığı ile ilgilidir. Doğru campaign_type ""Yatırım Hesabı"""
round0_kalibrasyon_C.csv;kuveyt-turk--kampanya-arsivi-business-plus-karttan-vade-farksiz-3-taksit-imkani;kampanya_suresi;1.07.2023-31.08.23;2023-08-31;kart §3-1: bitiş tarihi alınır (note'a `baslangic=2023-07-01`);Model yalnızca başlangıç tarihini algılamış kampanya süresi başlangıç ve bitiş tarihlerini kapsadığı için bitiş tarihide yazılmalı
round0_kalibrasyon_C.csv;kuveyt-turk--leasing-leasing-sureci-ve-hesaplama-araci;campaign_type;Leasing;Finansman;kart §3-8: 'Leasing' 8 sınıfta yok (note'a gerçek ürün adı);Model, leasing içeriğini Taşıt Finansmanı olarak yanlış algılamış, ancak doğru campaign_type genel leasing (finansal kiralama) ile ilgili
round0_kalibrasyon_C.csv;tom-katilim--hesaplama-araclari;masraf_durumu;Ücretli;"{""has_fee"": true, ""amount"": null}";kanonik biçim: masraf VAR ama tutar yazılmamış -> amount null;Model masraf durumunu algılayamamış. Metinde kredi tahsis ücreti uygulanacağı yazıyor.
round0_kalibrasyon_C.csv;turkiye-emlak-katilim--kampanya-market-alisverislerinize-1500-tl-parafpara-hediye;alisveris_puani;1.500 TL ParafPara;"{""kind"": ""points"", ""value"": 1500.0}";kart §2: `%` yok + `TL` var -> ADET (points), oran değil;Model alışveriş puanını algılayamamış.ParafPara bir alışveriş puanıdır.
round0_kalibrasyon_C.csv;turkiye-emlak-katilim--kampanya-paraf-ile-hepsiburadada-pesin-fiyatina-9-aya-varan-taksit-firsati;taksit_sayisi;3-6 taksit;6;kart §3-2: aralık yazılmış, en büyük değer alınır (note'a `aralik=3-6 taksit`);model taksit sayısını doğrudan 6 olarak algılamış ancak taksit sayısı 3-6 arası olabilir
round0_kalibrasyon_C.csv;turkiye-finans--tasit-finansmani-tasit-finansmani-2;finansman_tutari;400.000 TL, 800.000 TL, 1.200.000 TL, 2.000.000 TL;"{""value"": 2000000.0, ""currency"": ""TRY""}";kart §3-4: tutar aralığı, üst sınır alınır (note'a `alt=400000`);Model  finansman tutarını algılayamamış. Metinde finansman tutarı değerleri metinde var
round0_kalibrasyon_C.csv;turkiye-finans--tasit-finansmani-tasit-finansmani-2;masraf_durumu;masraflı;"{""has_fee"": true, ""amount"": null}";kanonik biçim: masraf VAR ama tutar yazılmamış -> amount null;Model masraf durumunu algılayamamış. Metinde tahsis ücreti, komisyon ve vergiler bulunduğundan masrafsız değildir.
round0_kalibrasyon_D.csv;dunya-katilim--katilma-hesaplari-gunes-katilma-hesabi;campaign_type;Güneş Yatırım Hesabı;Yatırım Ürünü;kart §3-8: 'Güneş Yatırım Hesabı' 8 sınıfta yok (note'a gerçek ürün adı);model, ihityaç finansmanı yerine Güneş Katılma Hesabını anlatıyor. Doğrusu Güneş Katılma Hesabı olacak ve Güneş Katılım Hesabı bir yatırım hesabıdır
round0_kalibrasyon_D.csv;dunya-katilim--kendim-icin-altin-bankaciligi;campaign_type;Altın Katılma Hesabı;Yatırım Ürünü;kart §3-8: 'Altın Katılma Hesabı' 8 sınıfta yok (note'a gerçek ürün adı);model ihtiyaç finansmanı yerine Altın Katılma Hesabını anlatıyor. Doğrusu Altın Katılma Hesabı olacak ve Altın Katılma Hesabı bir birikim hesabıdır.
round0_kalibrasyon_D.csv;kuveyt-turk--finansmanlar-ihtiyac-finansmanlari;kampanya_kosullari;finansman;(hücreyi boşalt);kart §3 tuzak-2: `absent` değer taşımaz, yazılan metin belgenin konusu, alanın değeri değil (note'a taşınır);model kampanya koşulunu istiyor ancak verilen veri metninde finansman ile ilgili bilgi bulunmaktadır.
round0_kalibrasyon_D.csv;kuveyt-turk--kampanya-arsivi-business-plus-karttan-vade-farksiz-3-taksit-imkani;odul_miktari;10000.0-50000.0;"{""value"": 50000.0, ""currency"": ""TRY""}";kart §3-4: tutar aralığı, üst sınır alınır (note'a `alt=10000`);model ödül miktarını kısmen doğru yazmıştır. En doğru hali 10000.0-50000.0 TL olmalıdır.
round0_kalibrasyon_D.csv;kuveyt-turk--leasing-leasing-sureci-ve-hesaplama-araci;campaign_type;Leasing Süreci ve Hesaplama Aracı;(hücreyi boşalt);kart §3 tuzak-2: `absent` değer taşımaz, yazılan metin belgenin konusu, alanın değeri değil (note'a taşınır);model taşıt finansmanını değil Leasing Süreci ve Hesaplama Aracını anlatmaktadır.
round0_kalibrasyon_D.csv;tom-katilim--hesaplama-araclari;kampanya_kosullari;Finansman hesaplama aracı;(hücreyi boşalt);kart §3 tuzak-2: `absent` değer taşımaz, yazılan metin belgenin konusu, alanın değeri değil (note'a taşınır);model, kampanya koşulu anlatıldığını varsayıyor oysaki veri setinde finansman hesaplama ve finansman ürünü ele alınmaktadır.
round0_kalibrasyon_D.csv;turkiye-emlak-katilim--bireysel-hesaplar;kampanya_kosullari;katılma hesapları;(hücreyi boşalt);kart §3 tuzak-2: `absent` değer taşımaz, yazılan metin belgenin konusu, alanın değeri değil (note'a taşınır);model veri setinde kampanya koşullarının anlatıldığını varsayıyor ancak veri metninin ana konusu yatırım, hesap ürünleridir.
round0_kalibrasyon_D.csv;turkiye-emlak-katilim--finansmanlar-ihtiyac-finansmani;masraf_durumu;"{""amount"": 157.50}, ""has_fee"": true}";"{""has_fee"": true, ""amount"": 157.5}";bozuk JSON onarıldı (parantez hatası), sayı değişmedi;"model, masraf durumu olarak finansman tutarını alıp hata yapmıştır. Doğru masraf durumu  {""amount"": 157.50}, ""has_fee"": true} OLACAKTIR."
round0_kalibrasyon_D.csv;turkiye-emlak-katilim--kampanya-market-alisverislerinize-1500-tl-parafpara-hediye;kampanya_suresi;1-31 Temmuz 2026;2026-07-31;kart §3-1: bitiş tarihi alınır (note'a `baslangic=2026-07-01`);model kampanya süresinin son gününü almıştır. Doğrusu başlangıç ve bitiş dahil olmaka üzere 1-31 Temmuz 2026 tarihi olacaktır.
round0_kalibrasyon_D.csv;turkiye-emlak-katilim--kampanya-paraf-ile-hepsiburadada-pesin-fiyatina-9-aya-varan-taksit-firsati;taksit_sayisi;3-6 taksit;6;kart §3-2: aralık yazılmış, en büyük değer alınır (note'a `aralik=3-6 taksit`);model kısmen doğru algılamış fakat eksiksiz hali şu şekilde olacak. 3-6 ay taksit sayısı
round0_kalibrasyon_D.csv;turkiye-finans--konut-finansmani-konut-finansmani;kampanya_kosullari;konut kredisi;(hücreyi boşalt);kart §3 tuzak-2: `absent` değer taşımaz, yazılan metin belgenin konusu, alanın değeri değil (note'a taşınır);model, veri metninde kampanya koşulundan behsedildiğini algıladığı için yanılmıştır. Veri metninde, Konut finansmanı, Tahsis ücreti, Masraf/ücret bilgisi, Kâr o
round0_kalibrasyon_D.csv;turkiye-finans--konut-finansmani-konut-finansmani;vade_ay;3-120;120;kart §3-2: aralık yazılmış, en büyük değer alınır (note'a `aralik=3-120`);model kısmen doğru algılamış fakat eksiksiz hali şu şekilde olacak: 3-120 ay vade.
round0_kalibrasyon_D.csv;turkiye-finans--tasit-finansmani-tasit-finansmani-2;kampanya_kosullari;taşıt finansmanı;(hücreyi boşalt);kart §3 tuzak-2: `absent` değer taşımaz, yazılan metin belgenin konusu, alanın değeri değil (note'a taşınır);verilen veri metninde kampanya koşullarından bahsedilmeyip taşıt finansmanına ilişkin, Vade sınırları, Kâr oranları, Tahsis ücreti, Sigorta şartları gibi konula
round0_kalibrasyon_D.csv;turkiye-finans--tasit-finansmani-tasit-finansmani-2;vade_ay;3_48;48;kart §3-2: aralık yazılmış, en büyük değer alınır (note'a `aralik=3_48`);veri setinde vade ay olarak minimum 3, maximum 48 ay olarak verilmiştir. Model kısmen doğru yazmıştır doğrusu 3-48 ay vade olacaktır.
round0_kalibrasyon_D.csv;vakif-katilim--finansmanlar-konut-finansmani-2;kampanya_kosullari;Konut Finansmanı hakkında Sıkça Sorulan Sorular;(hücreyi boşalt);kart §3 tuzak-2: `absent` değer taşımaz, yazılan metin belgenin konusu, alanın değeri değil (note'a taşınır);model, veri metninde kampanya koşulu olduğunu varsayıp yanılmıştır. Veri metninde Konut Finansmanı hakkında Sıkça Sorulan Sorular ele alınmıştır
